domain,scan url,category
1.usa.gov,https://1.usa.gov,HSTS
10x.gsa.gov,https://10x.gsa.gov,HSTS
10x.gsa.gov,https://10x.gsa.gov,Identifier FOIA
10x.gsa.gov,https://10x.gsa.gov,Banner
10x.gsa.gov,https://10x.gsa.gov,Contact
10x.gsa.gov,https://10x.gsa.gov,DAP
18f.gsa.gov,https://18f.gsa.gov,HSTS
18f.gsa.gov,https://18f.gsa.gov,Identifier
18f.gsa.gov,https://18f.gsa.gov,Identifier FOIA
18f.gsa.gov,https://18f.gsa.gov,Banner
18f.gsa.gov,https://18f.gsa.gov,Contact
18f.gsa.gov,https://18f.gsa.gov,DAP
tech.gsa.gov,https://tech.gsa.gov,HSTS
tech.gsa.gov,https://tech.gsa.gov,Identifier
tech.gsa.gov,https://tech.gsa.gov,Identifier Privacy
tech.gsa.gov,https://tech.gsa.gov,Identifier Accessibility
tech.gsa.gov,https://tech.gsa.gov,Identifier FOIA
tech.gsa.gov,https://tech.gsa.gov,Banner
tech.gsa.gov,https://tech.gsa.gov,Contact
tech.gsa.gov,https://tech.gsa.gov,DAP
aas.gsa.gov,https://aas.gsa.gov,HSTS
aas.gsa.gov,https://aas.gsa.gov,Identifier Privacy
aas.gsa.gov,https://aas.gsa.gov,Identifier Accessibility
aas.gsa.gov,https://aas.gsa.gov,Identifier FOIA
aas.gsa.gov,https://aas.gsa.gov,Banner
aas.gsa.gov,https://aas.gsa.gov,Contact
aas.gsa.gov,https://aas.gsa.gov,DAP
fedsim.gsa.gov,https://fedsim.gsa.gov,HSTS
fedsim.gsa.gov,https://fedsim.gsa.gov,Identifier Privacy
fedsim.gsa.gov,https://fedsim.gsa.gov,Identifier Accessibility
fedsim.gsa.gov,https://fedsim.gsa.gov,Identifier FOIA
fedsim.gsa.gov,https://fedsim.gsa.gov,Banner
fedsim.gsa.gov,https://fedsim.gsa.gov,Contact
fedsim.gsa.gov,https://fedsim.gsa.gov,DAP
gsa.gov,https://www.gsa.gov/,HSTS
gsa.gov,https://www.gsa.gov/,Identifier Privacy
gsa.gov,https://www.gsa.gov/,Identifier Accessibility
gsa.gov,https://www.gsa.gov/,Banner
gsa.gov,https://www.gsa.gov/,Contact
gsa.gov,https://www.gsa.gov/,DAP
apps.ocfo.gsa.gov,https://apps.ocfo.gsa.gov,HSTS
apps.ocfo.gsa.gov,https://apps.ocfo.gsa.gov,Identifier Privacy
apps.ocfo.gsa.gov,https://apps.ocfo.gsa.gov,Identifier Accessibility
apps.ocfo.gsa.gov,https://apps.ocfo.gsa.gov,Identifier FOIA
apps.ocfo.gsa.gov,https://apps.ocfo.gsa.gov,Contact
agile-labor-categories.18f.gov,https://agile-labor-categories.18f.gov,HSTS
ussm.gsa.gov,https://ussm.gsa.gov,HSTS
ussm.gsa.gov,https://ussm.gsa.gov,Identifier FOIA
ussm.gsa.gov,https://ussm.gsa.gov,Banner
ussm.gsa.gov,https://ussm.gsa.gov,Contact
ussm.gsa.gov,https://ussm.gsa.gov,DAP
analytics.usa.gov,https://analytics.usa.gov,HSTS
analytics.usa.gov,https://analytics.usa.gov,Contact
cdo.gov,https://www.cdo.gov/,HSTS
cdo.gov,https://www.cdo.gov/,Banner
cdo.gov,https://www.cdo.gov/,Contact
cdo.gov,https://www.cdo.gov/,DAP
api.data.gov,https://api.data.gov,HSTS
api.data.gov,https://api.data.gov,DAP
api.usa.gov,https://api.usa.gov,HSTS
cfo.gov,https://www.cfo.gov/,HSTS
cfo.gov,https://www.cfo.gov/,Banner
cfo.gov,https://www.cfo.gov/,Contact
cfo.gov,https://www.cfo.gov/,DAP
cio.gov,https://www.cio.gov/,HSTS
cio.gov,https://www.cio.gov/,Banner
cio.gov,https://www.cio.gov/,Contact
cio.gov,https://www.cio.gov/,DAP
asis.search.usa.gov,https://asis.search.usa.gov,HSTS
devicepki.idmanagement.gov,https://devicepki.idmanagement.gov,HSTS
devicepki.idmanagement.gov,https://devicepki.idmanagement.gov,Banner
devicepki.idmanagement.gov,https://devicepki.idmanagement.gov,Contact
devicepki.idmanagement.gov,https://devicepki.idmanagement.gov,DAP
evaluation.gov,https://www.evaluation.gov/,HSTS
evaluation.gov,https://www.evaluation.gov/,Banner
evaluation.gov,https://www.evaluation.gov/,Contact
evaluation.gov,https://www.evaluation.gov/,DAP
feedback.usa.gov,https://feedback.usa.gov,HSTS
feedback.usa.gov,https://feedback.usa.gov,Banner
feedback.usa.gov,https://feedback.usa.gov,Contact
feedback.usa.gov,https://feedback.usa.gov,DAP
fpc.gov,https://www.fpc.gov/,HSTS
fpc.gov,https://www.fpc.gov/,Banner
fpc.gov,https://www.fpc.gov/,Contact
fpc.gov,https://www.fpc.gov/,DAP
idmanagement.gov,https://www.idmanagement.gov/,HSTS
idmanagement.gov,https://www.idmanagement.gov/,Banner
idmanagement.gov,https://www.idmanagement.gov/,Contact
idmanagement.gov,https://www.idmanagement.gov/,DAP
blog.usa.gov,https://blog.usa.gov,HSTS
blog.usa.gov,https://blog.usa.gov,Contact
itvmo.gsa.gov,https://itvmo.gsa.gov,HSTS
itvmo.gsa.gov,https://itvmo.gsa.gov,Banner
itvmo.gsa.gov,https://itvmo.gsa.gov,Contact
itvmo.gsa.gov,https://itvmo.gsa.gov,DAP
oes.gsa.gov,https://oes.gsa.gov,HSTS
oes.gsa.gov,https://oes.gsa.gov,Banner
oes.gsa.gov,https://oes.gsa.gov,Contact
oes.gsa.gov,https://oes.gsa.gov,DAP
open.gsa.gov,https://open.gsa.gov,HSTS
open.gsa.gov,https://open.gsa.gov,Banner
open.gsa.gov,https://open.gsa.gov,Contact
open.gsa.gov,https://open.gsa.gov,DAP
catalog-next.data.gov,https://catalog-next.data.gov,HSTS
catalog.data.gov,https://catalog.data.gov/dataset,HSTS
catalog.data.gov,https://catalog.data.gov/dataset,DAP
paymentaccuracy.gov,https://www.paymentaccuracy.gov/,HSTS
paymentaccuracy.gov,https://www.paymentaccuracy.gov/,Banner
paymentaccuracy.gov,https://www.paymentaccuracy.gov/,Contact
paymentaccuracy.gov,https://www.paymentaccuracy.gov/,DAP
performance.gov,https://www.performance.gov/,HSTS
performance.gov,https://www.performance.gov/,Identifier FOIA
performance.gov,https://www.performance.gov/,Contact
performance.gov,https://www.performance.gov/,DAP
challenge.gov,https://www.challenge.gov/,HSTS
challenge.gov,https://www.challenge.gov/,Banner
challenge.gov,https://www.challenge.gov/,Contact
challenge.gov,https://www.challenge.gov/,DAP
playbooks.idmanagement.gov,https://playbooks.idmanagement.gov,HSTS
playbooks.idmanagement.gov,https://playbooks.idmanagement.gov,Banner
playbooks.idmanagement.gov,https://playbooks.idmanagement.gov,Contact
playbooks.idmanagement.gov,https://playbooks.idmanagement.gov,DAP
section508.gov,https://www.section508.gov/,HSTS
section508.gov,https://www.section508.gov/,Banner
section508.gov,https://www.section508.gov/,Contact
section508.gov,https://www.section508.gov/,DAP
citizenscience.gov,https://www.citizenscience.gov/,HSTS
citizenscience.gov,https://www.citizenscience.gov/,Banner
citizenscience.gov,https://www.citizenscience.gov/,DAP
techfarhub.cio.gov,https://techfarhub.cio.gov,HSTS
techfarhub.cio.gov,https://techfarhub.cio.gov,Banner
techfarhub.cio.gov,https://techfarhub.cio.gov,Contact
techfarhub.cio.gov,https://techfarhub.cio.gov,DAP
cloud.gov,https://cloud.gov,HSTS
cloud.gov,https://cloud.gov,Banner
cloud.gov,https://cloud.gov,Contact
cloud.gov,https://cloud.gov,DAP
tmf.cio.gov,https://tmf.cio.gov,HSTS
tmf.cio.gov,https://tmf.cio.gov,Banner
tmf.cio.gov,https://tmf.cio.gov,Contact
tmf.cio.gov,https://tmf.cio.gov,DAP
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,HSTS
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Banner
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Contact
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Identifier FOIA
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Identifier Privacy
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Identifier Accessibility
travel.reporting.gov,https://www.travel.reporting.gov/TRAVEL/TRAVELLogin,Identifier
code.gov,https://code.gov,HSTS
code.gov,https://code.gov,DAP
coe.gsa.gov,https://coe.gsa.gov,HSTS
coe.gsa.gov,https://coe.gsa.gov,Identifier FOIA
coe.gsa.gov,https://coe.gsa.gov,Banner
coe.gsa.gov,https://coe.gsa.gov,Contact
calc.gsa.gov,https://calc.gsa.gov,HSTS
calc.gsa.gov,https://calc.gsa.gov,Contact
calc.gsa.gov,https://calc.gsa.gov,DAP
conectate.gobiernousa.gov,https://conectate.gobiernousa.gov,HSTS
conectate.gobiernousa.gov,https://conectate.gobiernousa.gov,DAP
connect.digitalgov.gov,https://connect.digitalgov.gov,HSTS
connect.digitalgov.gov,https://connect.digitalgov.gov,Contact
connect.usa.gov,https://connect.usa.gov,HSTS
connect.usa.gov,https://connect.usa.gov,Contact
connect.usa.gov,https://connect.usa.gov,DAP
content-guide.18f.gov,https://content-guide.18f.gov,HSTS
content-guide.18f.gov,https://content-guide.18f.gov,Identifier
content-guide.18f.gov,https://content-guide.18f.gov,Identifier FOIA
content-guide.18f.gov,https://content-guide.18f.gov,Banner
content-guide.18f.gov,https://content-guide.18f.gov,DAP
cloud.cio.gov,https://cloud.cio.gov,HSTS
cloud.cio.gov,https://cloud.cio.gov,Banner
cloud.cio.gov,https://cloud.cio.gov,DAP
corporateapps.gsa.gov,https://corporateapps.gsa.gov,HSTS
corporateapps.gsa.gov,https://corporateapps.gsa.gov,Banner
corporateapps.gsa.gov,https://corporateapps.gsa.gov,DAP
courtsweb.gsa.gov,https://courtsweb.gsa.gov,HSTS
courtsweb.gsa.gov,https://courtsweb.gsa.gov,Banner
courtsweb.gsa.gov,https://courtsweb.gsa.gov,DAP
